ContactId,GroupId
17730,2832
17730,2834
17730,2836
17730,2838
17730,2844
17730,2846
17730,2848
17730,2850
17730,2852
17730,2854
17730,2856
17730,2858
17730,2994
17730,2864
17730,2874
17730,2876
17730,2878
17730,2880
17730,2882
17730,2894
17730,2896
17730,2900
17730,2908
17730,2912
17730,2914
17730,2916
17730,2918
17730,2920
17730,2922
17730,2924
17730,2936
17730,2938
17730,2942
17730,2944
17730,2946
17730,2948
17730,2950
17730,2952
17730,2958
17730,2962
17730,2970
17730,2972
17730,2978
17730,2982
17730,2984
17730,2988
17730,2990
17730,2992
17732,2832
17732,2834
17732,2880
17734,2834
17734,2880
17736,2834
17736,2880
17738,2834
17738,2880
17740,2834
17740,2880
17742,2834
17742,2880
17744,2834
17744,2880
17746,2834
17746,2880
17748,2834
17748,2880
17750,2880
17752,2880
17754,2840
17754,2994
17754,2862
17754,2880
17754,2964
17756,2880
17758,2880
17760,2994
17760,2996
17760,2880
17762,2994
17762,2868
17762,2870
17762,2880
17764,2836
17764,2994
17764,2996
17764,2870
17764,2880
17766,2874
17766,2880
17768,2874
17768,2880
17768,2890
17770,2872
17770,2880
17770,2960
17772,2872
17772,2880
17772,2960
17774,2872
17774,2880
17776,2874
17776,2880
17776,2890
17778,2874
17778,2880
17778,2890
17780,2874
17780,2880
17780,2890
17782,2874
17782,2880
17782,2890
17784,2874
17784,2880
17784,2890
17784,2924
17786,2874
17786,2880
17786,2890
17788,2874
17788,2880
17790,2874
17790,2880
17792,2874
17792,2880
17794,2874
17794,2880
17794,2890
17796,2872
17796,2880
17798,2874
17798,2880
17798,2890
17800,2874
17800,2880
17800,2890
17802,2872
17802,2880
17804,2872
17804,2880
17806,2874
17806,2880
17806,2890
17808,2842
17808,2880
17810,2880
17812,2880
17814,2880
17814,2898
17816,2880
17816,2892
17818,2862
17822,2884
17822,2886
17822,2888
17824,2884
17824,2886
17824,2888
17826,2884
17826,2886
17826,2888
17828,2890
17830,2890
17832,2890
17834,2890
17838,2878
17842,2900
17848,2902
17848,2904
17848,2906
17850,2902
17850,2904
17850,2906
17856,2910
17864,2840
17864,2864
17864,2918
17872,2918
17878,2924
17888,2960
17892,2960
17900,2926
17900,2928
17904,2930
17904,2932
17906,2934
17908,2930
17908,2932
17916,2960
17924,2960
17932,2960
17936,2960
17950,2940
17952,2964
17954,2954
17956,2956
17964,2960
17966,2960
17968,2960
17970,2960
17972,2960
17974,2960
17976,2960
17980,2960
17982,2964
17984,2964
17988,2964
17990,2964
17992,2964
17994,2964
17996,2964
17998,2964
18000,2964
18002,2964
18004,2964
18006,2964
18008,2964
18010,2964
18012,2964
18014,2964
18018,2964
18020,2966
18022,2966
18060,2964
18062,2964
18072,2964
18084,2964
18094,2964
18096,2964
18098,2964
18100,2964
18106,2964
18108,2964
18112,2964
18114,2964
18116,2964
18124,2964
18128,2968
18128,2970
18130,2964
18132,2964
18134,2964
18136,2964
18138,2964
18140,2964
18142,2964
18146,2964
18148,2964
18156,2964
18158,2964
18160,2964
18162,2964
18170,2964
18172,2964
18174,2964
18176,2964
18180,2964
18186,2964
18190,2964
18192,2964
18194,2964
18196,2964
18198,2964
18200,2964
18202,2964
18204,2964
18206,2964
18208,2964
18210,2964
18212,2974
18214,2964
18216,2964
18218,2964
18220,2964
18222,2964
18224,2964
18226,2964
18228,2964
18230,2964
18232,2964
18234,2964
18236,2964
18238,2964
18240,2964
18242,2964
18244,2964
18246,2964
18248,2964
18250,2964
18252,2964
18254,2964
18256,2964
18258,2964
18260,2964
18262,2964
18264,2964
18266,2964
18268,2964
18270,2964
18274,2964
18278,2964
18280,2964
18282,2964
18284,2964
18286,2964
18288,2964
18290,2964
18292,2964
18294,2964
18296,2964
18300,2964
18302,2964
18304,2964
18306,2964
18308,2964
18312,2964
18318,2964
18320,2964
18322,2964
